,Route_ID,User_ID,Sequence,Total_Duration,Total_Cost,Weather,Traffic_Level,Crowd_Density,Event_Impact,Optimal_Route_Preference,Satisfaction_Score,Age,Gender,Nationality,Travel_Companions,Budget_Category,Preferred_Theme,Preferred_Transport
0,1,23,"['Central Park', 'Great Barrier Reef', 'Statue of Liberty', 'Florence Cathedral', 'Prague Castle', 'Berlin Wall']",466,1541,Sunny,Medium,Low,Festival,"['Central Park', 'Great Barrier Reef', 'Statue of Liberty', 'Florence Cathedral', 'Prague Castle', 'Berlin Wall']",2,61,Other,USA,Family,Low,Relaxation,Taxi
1,2,124,"['Colosseum', 'Golden Gate Bridge', 'Budapest Parliament', 'Grand Canyon', 'Victoria Falls']",151,3817,Rainy,High,High,Festival,"['Colosseum', 'Golden Gate Bridge', 'Budapest Parliament', 'Grand Canyon', 'Victoria Falls']",4,18,Male,India,Group,High,Shopping,Bus
2,3,135,"['Eiffel Tower', 'Louvre Museum', 'Acropolis of Athens', 'Sagrada Familia', 'Venice Canals', 'Florence Cathedral', 'Table Mountain']",559,8087,Rainy,Low,High,,"['Eiffel Tower', 'Louvre Museum', 'Acropolis of Athens', 'Sagrada Familia', 'Venice Canals', 'Florence Cathedral', 'Table Mountain']",4,68,Male,USA,Group,Medium,Shopping,Walk
3,4,86,"['Eiffel Tower', 'Sydney Opera House', 'Great Barrier Reef', 'Statue of Liberty', 'Kyoto Temples', 'Mount Fuji', 'Bora Bora']",159,2218,Snowy,Medium,High,Festival,"['Eiffel Tower', 'Sydney Opera House', 'Great Barrier Reef', 'Statue of Liberty', 'Kyoto Temples', 'Mount Fuji', 'Bora Bora']",4,38,Female,USA,Friends,Low,Adventure,Car
4,5,137,"['Louvre Museum', 'Taj Mahal', 'Acropolis of Athens']",466,1388,Snowy,Low,Medium,Holiday,"['Louvre Museum', 'Taj Mahal', 'Acropolis of Athens']",2,35,Female,China,Solo,High,Cultural,Car
5,6,153,"['Great Wall of China', 'Terracotta Army', 'Temple of Karnak', 'Statue of Liberty', 'Kruger National Park', 'Bora Bora', 'Dubrovnik Old Town']",556,5212,Sunny,Low,High,Festival,"['Great Wall of China', 'Terracotta Army', 'Temple of Karnak', 'Statue of Liberty', 'Kruger National Park', 'Bora Bora', 'Dubrovnik Old Town']",2,20,Female,USA,Group,Low,Shopping,Walk
6,7,34,"['Roman Forum', 'Temple of Karnak', 'Iguazu Falls']",257,9545,Sunny,High,Medium,Holiday,"['Roman Forum', 'Temple of Karnak', 'Iguazu Falls']",2,29,Male,China,Friends,High,Shopping,Train
7,8,198,"['Louvre Museum', ""St. Peter's Basilica"", 'Forbidden City', 'Uluru', 'Sagrada Familia']",438,2141,Cloudy,Medium,Low,Holiday,"['Louvre Museum', ""St. Peter's Basilica"", 'Forbidden City', 'Uluru', 'Sagrada Familia']",4,39,Female,Japan,Friends,High,Relaxation,Taxi
8,9,160,"['Central Park', 'Grand Canyon', 'Yellowstone National Park', 'Berlin Wall']",219,5649,Rainy,High,Medium,Festival,"['Central Park', 'Grand Canyon', 'Yellowstone National Park', 'Berlin Wall']",2,43,Female,Germany,Friends,Low,Food,Taxi
9,10,76,"['Sistine Chapel', 'Great Wall of China', 'Taj Mahal']",287,7179,Sunny,Low,High,,"['Sistine Chapel', 'Great Wall of China', 'Taj Mahal']",3,66,Female,Japan,Solo,Low,Nature,Walk
